problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;9;3348;371;672
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;10;3414;341;609
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;1;104780;357;188
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;2;104000;337;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;3;105740;333;312
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;4;112290;333;156
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;5;113030;375;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;6;107710;366;188
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;7;107870;393;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;8;102390;340;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;9;108620;398;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.8;10;103590;329;188
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;1;26436;384;453
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;2;26012;383;234
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;3;26266;396;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;4;26026;395;266
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;5;25876;388;453
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;6;26168;394;219
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;7;26226;398;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;8;26294;398;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;9;26054;387;234
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.8;10;26098;366;250
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;1;11355;373;750
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;2;11840;383;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;3;11790;400;687
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;4;11467;379;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;5;11473;390;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;6;11540;349;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;7;11564;353;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;8;11221;370;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;9;11315;378;688
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=2.0;10;11608;370;688
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=2.0;1;11810;359;828
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=2.0;2;8558;400;812
