problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
qap;kra30a;;umm-er0;200;;2;122330;100;
qap;tho30;;umm-er0;200;;2;190884;112;
qap;kra30a;;umm-er0;200;;3;120520;94;
qap;kra30a;;umm-er0;200;;1;122780;172;
qap;tai35a;;umm-er0;200;;1;2826100;41;
qap;tai35a;;umm-er0;200;;3;2788556;102;
qap;tai35a;;umm-er0;200;;2;2841028;52;
qap;sko42;;umm-er0;200;;1;18706;21;
qap;tho30;;umm-er0;200;;3;196004;185;
qap;kra30a;;umm-er0;200;;4;117290;197;
qap;tho30;;umm-er0;200;;4;195964;20;
qap;sko42;;umm-er0;200;;2;18242;200;
qap;kra30a;;umm-er0;200;;5;119200;180;
qap;tai35a;;umm-er0;200;;4;2844056;1;
qap;tai35a;;umm-er0;200;;5;2826074;53;
qap;sko42;;umm-er0;200;;3;18818;16;
qap;tho30;;umm-er0;200;;5;185944;119;
qap;kra30a;;umm-er0;200;;6;118910;197;
qap;tho30;;umm-er0;200;;6;189770;110;
qap;sko42;;umm-er0;200;;4;18910;191;
qap;kra30a;;umm-er0;200;;7;111230;191;
qap;tai35a;;umm-er0;200;;6;2817714;193;
qap;tho30;;umm-er0;200;;7;194176;58;
qap;sko42;;umm-er0;200;;5;18670;150;
qap;kra30a;;umm-er0;200;;8;117120;185;
qap;tai35a;;umm-er0;200;;7;2845434;34;
qap;tho30;;umm-er0;200;;8;199216;161;
qap;sko42;;umm-er0;200;;6;18620;158;
qap;kra30a;;umm-er0;200;;9;115710;96;
qap;tai35a;;umm-er0;200;;8;2808804;23;
qap;sko42;;umm-er0;200;;7;18926;182;
qap;tho30;;umm-er0;200;;9;193376;162;
qap;kra30a;;umm-er0;200;;10;120660;146;
qap;tai35a;;umm-er0;200;;9;2825160;155;
qap;tho30;;umm-er0;200;;10;190054;157;
qap;sko42;;umm-er0;200;;8;18592;198;
qap;tai35a;;umm-er0;200;;10;2812412;24;
qap;sko42;;umm-er0;200;;9;19256;93;
qap;sko42;;umm-er0;200;;10;19062;186;
qap;tho30;;umm-er0;400;;5;186282;382;
qap;kra30a;;umm-er0;400;;1;122270;349;
qap;tho30;;umm-er0;400;;2;189290;390;
qap;tho30;;umm-er0;400;;3;181640;167;
qap;kra30a;;umm-er0;400;;2;116480;260;
qap;kra30a;;umm-er0;400;;3;111520;372;
qap;tho30;;umm-er0;400;;1;183328;389;
qap;tai35a;;umm-er0;400;;4;2821946;65;
qap;tai35a;;umm-er0;400;;2;2807636;31;
qap;sko42;;umm-er0;400;;3;18864;121;
qap;sko42;;umm-er0;400;;2;18734;252;
qap;sko42;;umm-er0;400;;5;18438;353;
qap;kra30a;;umm-er0;400;;6;111940;306;
qap;tho30;;umm-er0;400;;6;191414;396;
qap;kra30a;;umm-er0;400;;7;114130;288;
qap;tho30;;umm-er0;400;;4;193162;388;
qap;tho30;;umm-er0;400;;7;196240;35;
qap;kra30a;;umm-er0;400;;5;116240;392;
qap;kra30a;;umm-er0;400;;4;111750;175;
qap;tai35a;;umm-er0;400;;6;2822078;392;
qap;kra30a;;umm-er0;400;;8;118520;374;
qap;tai35a;;umm-er0;400;;7;2814108;191;
qap;tai35a;;umm-er0;400;;3;2803714;217;
qap;tai35a;;umm-er0;400;;1;2803116;286;
qap;tai35a;;umm-er0;400;;5;2816888;391;
qap;tho30;;umm-er0;400;;8;190990;388;
qap;sko42;;umm-er0;400;;6;18816;185;
qap;kra30a;;umm-er0;400;;9;119600;151;
qap;tho30;;umm-er0;400;;9;186588;352;
qap;kra30a;;umm-er0;400;;10;109760;319;
qap;tho30;;umm-er0;400;;10;186292;394;
qap;sko42;;umm-er0;400;;4;18768;358;
qap;tai35a;;umm-er0;400;;8;2801254;372;
qap;sko42;;umm-er0;400;;1;18704;263;
qap;sko42;;umm-er0;400;;7;18650;270;
qap;tai35a;;umm-er0;400;;9;2822830;398;
qap;tai35a;;umm-er0;400;;10;2799994;378;
qap;sko42;;umm-er0;400;;8;17926;373;
qap;sko42;;umm-er0;400;;9;18928;245;
qap;sko42;;umm-er0;400;;10;18798;264;
lop;N-p40-01;;cego-er0;100;;1;12138;96;
lop;N-p40-01;;cego-er0;200;;1;11396;157;
lop;N-p40-01;;cego-er0;400;;1;10641;388;
lop;N-p40-01;;cego-er0;100;;2;11787;92;
lop;N-p40-01;;cego-er0;200;;2;10581;182;
lop;N-p40-01;;cego-er0;400;;2;10506;227;
lop;N-p40-01;;cego-er0;100;;3;12064;100;
lop;N-p40-01;;cego-er0;200;;3;10903;186;
lop;N-p40-01;;cego-er0;400;;3;10484;319;
lop;N-p40-01;;cego-er0;100;;4;12347;100;
lop;N-p40-01;;cego-er0;200;;4;11164;176;
lop;N-p40-01;;cego-er0;400;;4;10247;339;
lop;N-p40-01;;cego-er0;100;;5;12643;100;
lop;N-p40-01;;cego-er0;200;;5;11169;195;
lop;N-p40-01;;cego-er0;400;;5;10587;310;
lop;N-p40-01;;cego-er0;100;;6;13003;100;
lop;N-p40-01;;cego-er0;200;;6;11429;190;
